Σ[none]System.Void DBData`1::Load(Integer64):43(1)
[none]System.Void DBData`1::Save(Integer64):80(1)
[none]T DBSingleData`1::GetSingleData():12(1)
[String::Concat][System.Int32]System.String LookingManager::GetLookingAddPoint(System.Int32):287(1)
[String::Concat][System.Int32]System.String LookingManager::GetMeixingdu():343(1)
[String::Concat][System.Int32]System.String LookingManager::GetMeixingduLevel():353(1)
[String::Concat][System.Int32]System.String LookingManager::GetMeixingduLevelInLevelUI():360(1)
[String::Concat][System.Int32]System.Void PlayerTitleManager::GoToHuanyinActivity():192(1)
[LogSystem][System.Int32]System.Boolean XiakeDateManager::buildCurrentXiake(System.Boolean,System.Boolean):580(2)
[LogSystem][System.Int32]System.Void XiakeDateManager::onPlayTimeLineEnd():911(1)
[LogSystem][System.Int32]System.Void XiakeDateManager::sendSave(System.Int32):1665(4)
[LogSystem][System.Int32]System.Void PurchaseCommand::DoAction(System.String,UnityEngine.Vector2):46(1)
[LogSystem][System.Int32]System.Void PurchaseCommand::DoAction(System.String,UnityEngine.Vector2):50(1)
[StoryValueResult::set_Value][System.Int32]System.Void StoryGetXiakeId::Evaluate(StorySystem.StoryInstance,StorySystem.StoryValueParams):23(1)
[LogSystem]System.Void FlyController::OnFlyButtonClicked(System.Int32,System.Boolean):96(1)
[String::Concat][System.Int32]System.Void FlyController::OnFlyButtonClicked(System.Int32,System.Boolean):99(1)
[String::Concat]System.Void FlyController::OnFlyButtonClicked(System.Int32,System.Boolean):100(1)
[String::Concat]System.Void FlyController::OnSelfPlayerSkillWillStopped(System.Int32):275(2)
[LogSystem][System.Int32]System.Void PetController::Handle_QSCMD_NEW_OBJPETSC(System.Object):841(2)
[FairyGUI.GObject::data][System.Int32]System.Void PlayerTitleMainView::UpdateTitleButtonList():288(1)
[FairyGUI.GObject::data][System.Int32]System.Void PlayerTitleSelectionView::StartupFGUI():19(1)
[FairyGUI.GObject::data][System.Int32]System.Void PlayerTitleSelectionView::StartupFGUI():22(1)
[FairyGUI.GObject::data][System.Int32]System.Void PlayerTitleSwitchView::UpdateTitleButtonList():109(1)
[Utility::Format][System.Int32]System.String QSUIUtility::ConsumeInfoRichText(System.Int32,System.Int32):71(2)
[Utility::Format][System.Int32]System.String QSUIUtility::ConsumeInfoRichText(System.Int32,System.Int32):73(2)
[StringBuilder::AppendFormat][System.Int32]System.String QSUIUtility::CreateTimeFormatStr(System.Int32):88(1)
[StringBuilder::AppendFormat][System.Int32]System.String QSUIUtility::CreateTimeFormatStr(System.Int32):91(1)
[StringBuilder::AppendFormat][System.Int32]System.String QSUIUtility::CreateTimeFormatStr(System.Int32):93(1)
[StringBuilder::AppendFormat][System.Int32]System.String QSUIUtility::TimeLeftShotInfo(System.Int32):123(1)
[StringBuilder::AppendFormat][System.Int32]System.String QSUIUtility::TimeLeftShotInfo(System.Int32):126(1)
[StringBuilder::AppendFormat][System.Int32]System.String QSUIUtility::TimeLeftShotInfo(System.Int32):129(1)
[StringBuilder::AppendFormat][System.Int32]System.String QSUIUtility::TimeLeftShotInfo(System.Int32):132(1)
[FairyGUI.GObject::data][System.Int32]System.Void SlidingPuzzleView::InitBlocks():152(1)
[Utility::Format][System.Int32]System.Void AdvanceTreasureBoxView::ShowGoodsDetail():171(1)
[Utility::Format][System.Int32]System.Void AdvanceTreasureBoxView::ShowGoodsDetail():185(1)
[Utility::Format][System.Int32]System.Void AdvanceTreasureBoxView::NotifyReward(System.Object):271(1)
[String::Format][System.Int32]System.Void BanghuiExchangeView::UpdateDetail():109(2)
[String::Format]System.Void BattleTeamActivityView::OnItemListRender(System.Int32,FairyGUI.GObject):198(2)
[String::Format]System.Void BattleTeamApplyView::OnItemListRender(System.Int32,FairyGUI.GObject):98(1)
[String::Format]System.Void BattleTeamApplyView::OnItemListRender(System.Int32,FairyGUI.GObject):101(1)
[Utility::Format][System.Int32]System.Void FriendChatView::SelectEmotionPanel(System.Int32):664(1)
[String::Concat][System.Int32]System.Void FriendChatView::OnClickPetItem(MessageDefine.stPet):921(1)
[Utility::Format][System.Int32]System.Void FriendChatView::OnClickPetItem(MessageDefine.stPet):924(1)
[String::Concat][System.Int32]System.Void FriendChatView::OnClickBagItem(PlayerPackage/ClientItem):983(1)
[Utility::Format][System.Int32]System.Void FriendChatView::OnClickBagItem(PlayerPackage/ClientItem):996(1)
[String::Concat][System.Int32]System.Void FriendChatView::OnClickBagItem(PlayerPackage/ClientItem):1012(1)
[none]System.Void FriendChatView::OnclickSend():1091(1)
[StringBuilder::AppendFormat][System.Int32]System.Void GuiguBattleView::ShowText(System.Int32):82(2)
[Utility::Format]System.Void GuiguResultView::RefreshView(MessageDefine.QSCMD_BATTLE_FIELD_SCORE_GGSC):53(2)
[Utility::Format][System.Int32]System.Void GuiguResultView::RenderItem(FairyGUI.GComponent,MessageDefine.GGBattleFieldScore,MessageDefine.QSCMD_BATTLE_FIELD_SCORE_GGSC):116(3)
[Utility::Format][System.Int32]System.Void GuiguResultView::RenderItem(FairyGUI.GComponent,MessageDefine.GGBattleFieldScore,MessageDefine.QSCMD_BATTLE_FIELD_SCORE_GGSC):120(3)
[Utility::Format]System.Void GuiguResultView::RenderItem(FairyGUI.GComponent,MessageDefine.GGBattleFieldScore,MessageDefine.QSCMD_BATTLE_FIELD_SCORE_GGSC):128(1)
[Utility::Format]System.Void GuiguResultView::RenderItem(FairyGUI.GComponent,MessageDefine.GGBattleFieldScore,MessageDefine.QSCMD_BATTLE_FIELD_SCORE_GGSC):132(1)
[Utility::Format][System.Int32]System.Void GuiguSJRankWard::RankItemRenderer(System.Int32,FairyGUI.GObject):92(2)
[Utility::Format]System.Void GuiguSjview::RefreshView():77(1)
[Utility::Format][System.Int32]System.Void GuiguSjview::RefreshView():78(2)
[Utility::Format]System.Void GuiguSjview::RefreshView():82(1)
[Utility::Format][System.Int32]System.Void GuiguSjview::RefreshView():94(2)
[StringBuilder::AppendFormat][System.Int32]System.Void HuangLingRankView::ShowText(System.Int32):130(2)
[String::Concat]System.Void LookingView::OnMeixingChanged(System.Int64,System.Int64):83(1)
[String::Concat]System.Void LookingView::OnMeixingDuLevelChanged(System.Int64,System.Int64):87(1)
[String::Concat]System.Void LookingView::OnMeixingDuLevelChanged(System.Int64,System.Int64):89(1)
[Utility::Format][System.Int32]System.Void MenpaiBattleResultView::RefreshView(MessageDefine.QSCMD_MPJJ_BATTLE_RESULTSC):91(1)
[StringBuilder::AppendFormat][System.Int32]System.Void MenpaiBattleView::ShowText(System.Int32):63(2)
[String::Concat]System.Void MenpaiJingjiIntroView::onRankRewardInfoGot(MessageDefine.QSCMD_MENPAI_JINGJI_FIGHTTIMES_REWARD_INFOSC):107(1)
[String::Format][System.Int32]System.Void MenpaiJuesaiPlayersView::init():45(1)
[LogSystem]System.Void MenpaiJuesaiMainView::onJuiSaiInfoGot(MessageDefine.QSCMD_MPJJ_MATCH_INFOSC):394(1)
[String::Concat][System.Int32]System.Void MultiPetRewardView::StartupFGUI():105(1)
[String::Concat][System.Int32]System.Void MultiPetRewardView::Zili2ListItemRenderer(System.Int32,FairyGUI.GObject):371(1)
[String::Concat][System.Int32]System.Void MultiPetRongheLookView::StartupFGUI():103(1)
[String::Concat][System.Int32]System.Void MultiPetRongheLookView::Zili2ListItemRenderer(System.Int32,FairyGUI.GObject):439(1)
[String::Concat][System.Int32]System.Void MultiPetRonghePublishView::StartupFGUI():102(1)
