¶‘[LogSystem]System.Void DBData`1::Load(Integer64):62(1)
[LogSystem]System.Void DBData`1::Save(Integer64):91(1)
[none]UserSkillZhiDianRedAlertSingleData UserSkillZhiDianRedAlertSingleData::ToData(System.String):39(1)
[none]System.Void LookingManager::OnMountClick():155(1)
[LogSystem]System.Void MysteriousLetterDataManager::QSCMD_MISSION_SECRET_MAILSC_Handler(System.Object):25(1)
[GfxStorySystem::SendMessage]System.Void MysteriousLetterDataManager::QSCMD_MISSION_SECRET_MAILSC_Handler(System.Object):28(1)
[GfxStorySystem::SendMessage]System.Void MysteriousLetterDataManager::CloseLetterTrigger():72(1)
[none]System.Int32 PlayerTitleManager::GetSwitchCostItemId(System.Int32&):155(1)
[LogSystem]System.Int32 PlayerTitleManager::GetSwitchCostItemId(System.Int32&):158(1)
[none]System.Void PlayerTitleManager::GoToHuanyinActivity():198(1)
[LogSystem]System.Void SocialActionManager::DoAction():157(1)
[none]System.Void SocialActionManager::DoAction():181(1)
[LogSystem]System.Void SocialActionManager::DoAction():211(1)
[GfxStorySystem::SendMessage]System.Void XiakeDateManager::_innerEnterXiakeDateScene(System.Boolean,System.Boolean):426(1)
[GfxStorySystem::SendMessage][System.Int32]System.Void XiakeDateManager::stopAllTimeLines():495(1)
[LogSystem][System.Int32]System.Boolean XiakeDateManager::buildCurrentXiake(System.Boolean,System.Boolean):580(1)
[LogSystem]System.Void XiakeDateManager::driveXiakeFollowPlayer():785(1)
[LogSystem]System.Void XiakeDateManager::driveXiakeFollowPlayer():795(1)
[LogSystem]System.Void XiakeDateManager::driveXiakeFollowPlayer():800(1)
[LogSystem]System.Void XiakeDateManager::playTimeLine(System.Int32,System.Boolean,System.Boolean):877(1)
[GfxStorySystem::SendMessage]System.Void XiakeDateManager::playTimeLine(System.Int32,System.Boolean,System.Boolean):878(1)
[LogSystem][System.Int32]System.Void XiakeDateManager::onPlayTimeLineEnd():911(1)
[GfxStorySystem::SendMessage]System.Void XiakeDateManager::playDslByID(System.Int32,XiakeDateEnterRegionType,System.String,System.String):1330(1)
[LogSystem]System.Void XiakeDateManager::scheduleSmoothMoveAndCamera(UnityEngine.Vector3,System.Single,CsLibrary.MyAction):1471(1)
[LogSystem]System.Void XiakeDateManager::sendSave(System.Int32):1586(1)
[LogSystem]System.Void XiakeDateManager::sendSave(System.Int32):1592(1)
[LogSystem][System.Int32]System.Void XiakeDateManager::sendSave(System.Int32):1665(1)
[LogSystem]System.Void ClientPublishEventRegist::PlayDisplay(System.String,System.String):19(1)
[none]System.Void GetPetChatCommand::DoAction(System.String,UnityEngine.Vector2):13(1)
[none]System.Void GetPetRongheCommand::DoAction(System.String,UnityEngine.Vector2):13(1)
[none]System.Void PurchaseCommand::DoAction(System.String,UnityEngine.Vector2):18(1)
[LogSystem]System.Void PurchaseCommand::DoAction(System.String,UnityEngine.Vector2):21(1)
[none]System.Void PurchaseCommand::DoAction(System.String,UnityEngine.Vector2):24(1)
[LogSystem]System.Void PurchaseCommand::DoAction(System.String,UnityEngine.Vector2):27(1)
[LogSystem]System.Void PurchaseCommand::DoAction(System.String,UnityEngine.Vector2):34(1)
[LogSystem]System.Void PurchaseCommand::DoAction(System.String,UnityEngine.Vector2):39(1)
[LogSystem][System.Int32]System.Void PurchaseCommand::DoAction(System.String,UnityEngine.Vector2):46(1)
[LogSystem][System.Int32]System.Void PurchaseCommand::DoAction(System.String,UnityEngine.Vector2):50(1)
[LogSystem]System.Void PurchaseCommand::DoAction(System.String,UnityEngine.Vector2):56(1)
[none]System.Void SendStoryMessageCommand::DoAction(System.String,UnityEngine.Vector2):13(1)
[none]System.Void SendStoryMessageCommand::DoAction(System.String,UnityEngine.Vector2):20(1)
[none]System.Void SendStoryMessageCommand::DoAction(System.String,UnityEngine.Vector2):22(1)
[none]System.Void SendUnityMessageCommand::DoAction(System.String,UnityEngine.Vector2):13(1)
[LogSystem]System.Void ActivityOperationManager::Handle_QSCMD_OPERATION_ACTIVITIESSC(System.Object):66(1)
[LogSystem]System.Void ActivityOperationManager::Handle_QSCMD_OPERATION_SUB_ACTIVITIESSC(System.Object):76(1)
[LogSystem]System.Void ActivityOperationManager::Handle_QSCMD_OPERATION_SUB_ACTIVITIES_INFOSC(System.Object):86(1)
[LogSystem]System.Void ActivityOperationManager::Handle_QSCMD_OPERATION_SUB_ACTIVITIES_LINKSC(System.Object):96(1)
[LogSystem]System.Void ActivityOperationManager::Send_QSCMD_OPERATION_SUB_ACTIVITIESCS():104(1)
[LogSystem]System.Void ActivityOperationManager::Send_QSCMD_OPERATION_SUB_ACTIVITIES_INFOCS(System.Int32):111(1)
[LogSystem]System.Void ActivityOperationManager::Send_QSCMD_OPERATION_SUB_ACTIVITIES_LINKCS(System.Int32):118(1)
[none]System.String ActivityOperationManager::GetSubActivityTimeById(System.Int32):198(1)
[none]System.String ActivityOperationManager::GetSubActivityTimeById(System.Int32):199(1)
[Utility::Format]System.String ActivityOperationManager::GetSubActivityTimeById(System.Int32):203(1)
[Utility::Format]System.String ActivityOperationManager::GetSubActivityTimeById(System.Int32):208(1)
[none]System.Void ChatSystem::.ctor():32(1)
[none]System.Void ChatSystem::.ctor():33(1)
[none]System.Void ChatSystem::.ctor():34(1)
[none]System.Void ChatSystem::.ctor():35(1)
[LogSystem]System.Void FlyController::OnFlyButtonClicked(System.Int32,System.Boolean):96(1)
[String::Concat]System.Void FlyController::OnSelfPlayerSkillWillStopped(System.Int32):275(2)
[find:Controller::Update, PetController::RandomPaoPaoContent[none]System.Void PetController::RandomPaoPaoContent():761(1)
[LogSystem][System.Int32]System.Void PetController::Handle_QSCMD_NEW_OBJPETSC(System.Object):841(1)
[none]System.Void PetController::ResetSkillRedAlert():949(1)
[LogSystem]System.Void PlayerTitleMainView::UpdateBoard():147(1)
[Utility::Format][System.Int32]System.Void PlayerTitleMainView::UpdateBoard():235(1)
[Utility::Format][System.Int32]System.Void PlayerTitleMainView::UpdateBoard():242(1)
[Utility::Format][System.Int32]System.Void PlayerTitleMainView::UpdateBoard():252(1)
[Utility::Format]System.Void PlayerTitleSwitchView::UpdateBoard():68(1)
[Utility::Format][System.Int32]System.String QSUIUtility::ConsumeInfoRichText(System.Int32,System.Int32):71(1)
[Utility::Format][System.Int32]System.String QSUIUtility::ConsumeInfoRichText(System.Int32,System.Int32):73(1)
[none]System.Void QSUIUtility::Init_NUM_STRS():108(1)
[none]System.Void ReadingLetterView::RefreshDisplay():147(1)
[none]System.Void ScratchNameTagView::StartupFGUI():52(1)
[LogSystem]System.Void SlidingPuzzleView::InitBlocks():165(1)
[LogSystem]System.Boolean SlidingPuzzle::TryMoveBlockByBlockId(System.Int32,System.Int32,System.Int32):414(1)
[Utility::Format][System.Int32]System.Void AdvanceTreasureBoxView::ShowGoodsDetail():171(1)
[Utility::Format][System.Int32]System.Void AdvanceTreasureBoxView::ShowGoodsDetail():185(1)
[Utility::Format][System.Int32]System.Void AdvanceTreasureBoxView::NotifyReward(System.Object):271(1)
[none]System.Void BanghuiShangdianChongsongTip2View::UpdateUI():38(1)
[none]System.Void BanghuiShangdianChongsongTip2View::UpdateUI():54(1)
[none]System.Void BanghuiShangdianChongsongTip2View::UpdateUI():69(1)
[String::Concat]System.Void BattleTeamInviteView::UpdateGangUI():115(1)
[none]System.Void CommonInputComView::.ctor():31(1)
[none]System.Void PanlongController::QSCMD_PL_MAIN_UI_Handler(System.Object):32(1)
[none]System.Void PanlongController::ShowPanlongRewardView(System.String,System.String,System.String):160(1)
[none]System.Void PanlongController::ShowPanlongRewardView(System.String,System.String,System.String):163(1)
[none]System.Void PanlongController::ShowPanlongRewardView(System.String,System.String,System.String):166(1)
[none]System.Void PanlongController::ShowPanlongRewardView(System.String,System.String,System.String):170(1)
[GfxStorySystem::SendMessage]System.Void DslChooseDialogView::onClickClose():147(1)
[none]System.Void DslChooseDialogView::.ctor():20(1)
[none]System.Void DslChooseDialogView::.ctor():21(1)
[none]System.Void DslChooseDialogView::.ctor():22(1)
[none]System.Void DslChooseDialogView::.ctor():23(1)
[none]System.Void DslChooseDialogView::.ctor():26(1)
[none]System.Void FriendChatView::.ctor(FairyGUI.GComponent):59(1)
[Utility::Format][System.Int32]System.Void FriendChatView::SelectEmotionPanel(System.Int32):664(1)
[Utility::Format][System.Int32]System.Void FriendChatView::OnClickPetItem(MessageDefine.stPet):924(1)
[Utility::Format]System.Void FriendChatView::OnClickPetItem(MessageDefine.stPet):926(1)
[String::Concat]System.Void FriendChatView::OnClickPetItem(MessageDefine.stPet):927(3)
[Utility::Format]System.Void FriendChatView::OnClickBagItem(PlayerPackage/ClientItem):990(1)
[Utility::Format][System.Int32]System.Void FriendChatView::OnClickBagItem(PlayerPackage/ClientItem):996(1)
[String::Concat]System.Void FriendChatView::OnClickBagItem(PlayerPackage/ClientItem):1007(3)
[String::Concat][System.Int32]System.Void FriendChatView::OnClickBagItem(PlayerPackage/ClientItem):1012(3)
[none]System.Void FriendChatView::OnclickSend():1072(1)
[none]System.Void FriendChatView::OnclickSend():1091(1)
[String::Concat][System.Int32]System.Void FriendChatView::OnclickSend():1093(1)
[Utility::Format]System.Void FriendChatView::OnClickCurrentScreenPostion():1199(1)
[Utility::Format]System.Void FriendChatView::<.ctor>b__42_6():196(1)
[Utility::Format]System.Void FriendChatView::<.ctor>b__42_6():197(1)
[none]System.Void GameDiagnosisView::PrepareTableData():250(1)
[none]System.Void GameDiagnosisView::PrepareTableData():257(1)
[Utility::Format]System.Void GuiguResultView::RefreshView(MessageDefine.QSCMD_BATTLE_FIELD_SCORE_GGSC):53(1)
[Utility::Format][System.Int32]System.Void GuiguResultView::ShowText(System.Int32):99(1)
[Utility::Format][System.Int32]System.Void GuiguResultView::RenderItem(FairyGUI.GComponent,MessageDefine.GGBattleFieldScore,MessageDefine.QSCMD_BATTLE_FIELD_SCORE_GGSC):116(1)
[Utility::Format][System.Int32]System.Void GuiguResultView::RenderItem(FairyGUI.GComponent,MessageDefine.GGBattleFieldScore,MessageDefine.QSCMD_BATTLE_FIELD_SCORE_GGSC):120(1)
[Utility::Format]System.Void GuiguResultView::RenderItem(FairyGUI.GComponent,MessageDefine.GGBattleFieldScore,MessageDefine.QSCMD_BATTLE_FIELD_SCORE_GGSC):128(1)
[Utility::Format]System.Void GuiguResultView::RenderItem(FairyGUI.GComponent,MessageDefine.GGBattleFieldScore,MessageDefine.QSCMD_BATTLE_FIELD_SCORE_GGSC):132(1)
[Utility::Format]System.Void GuiguSJRankWard::RefreshView():48(1)
[Utility::Format][System.Int32]System.Void GuiguSJRankWard::RankItemRenderer(System.Int32,FairyGUI.GObject):92(1)
[none]System.Void GuiguSJRankWard::.ctor():20(1)
[Dict::Format]System.Void GuiguSjview::RefreshView():69(1)
[Dict::Format]System.Void GuiguSjview::RefreshView():70(1)
[Utility::Format]System.Void GuiguSjview::RefreshView():77(1)
[Utility::Format][System.Int32]System.Void GuiguSjview::RefreshView():78(1)
[Utility::Format]System.Void GuiguSjview::RefreshView():82(1)
[Utility::Format][System.Int32]System.Void GuiguSjview::RefreshView():94(1)
[Utility::Format]System.Void GuiguSjview::RefreshView():95(1)
[Utility::Format][System.Int32]System.Void HuangLingRankView::RefreshRightPanel():94(1)
[Utility::Format]System.Void HuangLingRankView::ShowText(System.Int32):131(1)
[none]System.Void HuangLingRankView::.ctor():25(1)
[Utility::Format][System.Int32]System.Void MenpaiBattleResultView::ShowText(System.Int32):55(1)
[Utility::Format][System.Int32]System.Void MenpaiBattleResultView::RefreshView(MessageDefine.QSCMD_MPJJ_BATTLE_RESULTSC):91(1)
[LogSystem]System.Void MenpaiJuesaiMainView::onJuiSaiInfoGot(MessageDefine.QSCMD_MPJJ_MATCH_INFOSC):394(1)
[none]System.Void MultiPetRewardView::StartupFGUI():102(1)
[none]System.Void MultiPetRongheLookView::StartupFGUI():100(1)
[none]System.Void MultiPetRonghePublishView::StartupFGUI():99(1)
[Utility::Format][System.Int32]System.Void MultiPetRonghePublishView::<InitByPetGridId>b__27_3():188(1)
[String::Concat]System.Void MultiPetRonghePublishView::<InitByPetGridId>b__27_3():189(3)
[Utility::Format][System.Int32]System.Void MultiPetRonghePublishView::<InitByPetGridId>b__27_3():203(1)
[String::Concat]System.Void MultiPetRonghePublishView::<InitByPetGridId>b__27_3():204(1)
